code,jan,feb,march,april,may,june,july,aug,sep,oct,nov,dec,ann,jan,feb,march,april,may,june,july,aug,sep,oct,nov,dec,avg,jan,feb,march,april,may,june,july,aug,sep,oct,nov,dec
ALB,35.64151994,37.792505,42.86356998,49.85215979,57.9969501,64.26994991,68.97004986,68.86339979,62.88634992,54.07839501,45.63645481,38.57651002,52.28564012,108,102.63,93.43,86.16,74.27,54.58,39.07,45.7,67.57,105.26,138.26,138.3,87.76959864,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy
DZA,53.82049516,58.62235053,64.24430502,71.4854868,79.54525042,87.43364221,90.57005711,89.55417039,83.88375655,74.01042051,63.1561918,55.31114508,72.63642405,8.99,8.6,9.39,8.04,6.56,3.37,2.07,3.69,5.13,7.33,9.53,9.28,6.831129064,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry
AGO,72.64802404,72.83036494,73.01145101,72.2364471,69.3312341,65.07196687,64.30311589,67.82443944,71.93758653,73.72687738,73.01507254,72.69954476,70.71967885,154.99,148.54,169.91,109.07,15.14,0.37,0.32,3.41,20.1,69.77,144.51,155.16,82.60880695,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy
ARG,69.4463592,67.81914059,63.52634169,57.28331053,51.16591676,45.78306055,45.35851733,48.22871915,52.75305674,58.4143719,63.57925809,67.69066568,57.58740486,68.37,63.65,69.53,46.48,36.28,28.08,25.89,24.1,30.07,47.72,55.57,63.3,46.5871559,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy
ARM,16.40636463,20.02626157,30.980462,43.91550155,52.5781541,60.04289212,67.67475345,66.71175373,58.94600022,46.25968307,34.91369644,23.22940298,43.47385093,20.84,25.93,40.11,59.73,82.85,68.05,43.06,35.97,29.43,42.13,30.79,23.4,41.85681407,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Rainy,Dry,Dry
AUS,82.01209286,81.01293854,77.66365403,71.37453023,64.14494888,58.69923532,57.11841883,60.27414987,66.0033489,72.42275517,77.22880942,80.58938156,70.71201741,80.56,75.81,61.98,31.12,30,23.83,23.3,20.27,17.84,24.37,33.1,50.92,39.42429165,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Rainy
AUT,25.67060924,28.4266169,34.55307982,41.91632786,50.21254753,55.91555237,59.4601999,58.96232442,53.76638922,45.59142147,35.1206234,28.02230631,43.13482295,67.7,65.91,75.92,90.7,113.36,137.66,137,131.42,94.91,77.15,92.21,77.24,96.76532243,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry
AZE,31.63841479,33.44667282,40.94666679,52.95805607,62.24264,71.11283989,76.57363998,75.40004017,67.69715988,55.18717198,45.18627201,35.65773803,54.00382004,24.68,27.43,40.52,48.44,56.83,50.86,25.2,23.09,34.15,45.41,30.5,26.76,36.15693673,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Rainy,Dry,Dry
BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGD,65.54288256,69.83009127,77.75885658,82.44296528,83.20287839,83.22905653,82.93397369,83.10438724,83.03943042,80.89700008,74.65999988,67.52871302,77.84764358,6.51,16.42,45.26,138.3,256.17,443.14,487.72,377.62,296.07,160.54,30.4,8.38,188.8769724,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry
BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,35.50435541,36.70787882,41.40905528,46.66186812,54.31639988,59.78215295,63.02935277,62.92992953,57.96934105,51.22109876,42.37154704,37.6050624,49.12563429,74.45,59.44,74.45,59.46,70.18,78.92,75.72,68.05,66.86,77.4,85.99,83.37,72.85812767,Rainy,Dry,Rainy,Dry,Dry,Rainy,Rainy,Dry,Dry,Rainy,Rainy,Rainy
BTN,33.00290345,35.89736503,42.22237991,47.80871869,52.75120955,57.90767004,58.6357188,58.2641862,56.03737998,49.45023237,41.52213757,35.72120453,47.43507727,6.58,8.05,26.92,93.84,162.48,366.28,446.23,330.03,238.27,84.85,12.84,4.1,148.3716576,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry
BOL,72.61972567,72.37802154,71.72910574,69.79801608,66.65781582,63.76324042,63.97779494,66.98023317,70.39122083,72.51044449,73.24550932,73.00993649,69.75505406,179.82,167.58,142.46,80.47,49.73,30.27,20.86,26.23,43.93,78.3,113.58,162.33,91.29665011,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy
BWA,79.3538233,77.75824567,75.74403702,70.55350973,63.67297474,57.72554757,57.58678152,62.8816564,70.45471941,75.70945242,77.89279132,78.6024894,70.66136992,89.76,77,53.38,31.47,4.9,1.23,0.33,0.6,5.7,21.71,45.99,62.41,32.87298131,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy
BRA,78.05212136,78.17138931,77.88353574,77.08872787,75.54261063,73.92311425,73.8378565,75.61823225,77.24098547,78.30719987,78.33183955,78.18320298,76.8483893,226.46,217.8,236.03,184.87,130.86,81.93,65.16,57.76,76.91,124.49,158.2,202.52,146.9142494,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy
BGR,29.86974327,33.561284,40.45516678,49.84878852,58.98996588,65.5578981,69.5254426,68.87889785,62.3226851,52.66854981,42.71140551,34.18131593,50.71417095,43.38,43.77,44.58,52.87,66.79,69.26,51.19,42.05,36.9,40.96,56.04,55.05,50.23697554,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Rainy,Rainy
BFA,77.00816286,82.11308817,87.13153028,89.69851846,88.65045825,84.61929549,80.80672784,79.45394409,80.54811411,83.67017203,81.45217454,77.45696969,82.71744891,0.27,1.02,8.23,28.06,64.21,102.32,172.88,215.39,141.89,36.4,2.79,0.82,64.52389586,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry
BDI,68.43739937,68.69839985,68.77345982,68.6632999,68.08298008,66.87013992,66.84151985,68.79739971,70.08637959,69.77012028,68.43038014,68.29825993,68.47897953,154.09,139.05,170.24,193.73,94.37,12.22,3.75,13.85,56.13,96.15,171.95,157.27,105.2343333,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy
KHM,76.7585967,79.75269351,82.26816456,84.09908377,83.28475824,81.90711938,81.22741613,81.07856789,80.5285516,79.87622596,78.46746456,76.64371609,80.49110007,10.92,16.01,41.89,79.3,198.4,278.31,291.22,319.24,316.98,236.1,100.92,29.38,159.8898214,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry
CMR,74.98442853,77.64753465,79.29331012,79.57846951,77.93659993,75.80488579,74.05740401,73.92424093,74.71306931,75.7101224,75.65746947,74.49452233,76.1501307,14.96,29.46,90.06,133.62,176.45,170.72,196.03,227.85,263.21,222.55,70.25,17.9,134.4226596,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry
CAN,-12.31980994,-9.856444237,-1.689900412,14.3825349,31.48370463,45.03178257,51.9920321,49.12739243,38.21704594,24.15459372,5.89530698,-6.741119372,19.1397567,28.74,23.17,25.31,24.86,32.82,48.52,58.91,56.43,48.66,41.36,36.86,31.83,38.1224211,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry
CPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCD,69.19582103,73.57836774,79.78959724,85.19622226,87.86104039,87.34324062,84.67444474,82.7772279,83.05585452,81.02171192,74.83366013,70.32837891,79.97133426,0.21,1.38,2.26,8.36,20.86,37.11,82.39,113.71,51.31,12.4,0.35,0.15,27.54213917,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry
CHL,54.82848214,53.96731443,51.55737963,47.50979714,43.31808588,39.91615384,39.27929529,40.70543367,43.37276203,46.79956595,50.20880054,53.32500478,47.06569095,33.81,34.03,35.28,47.04,81.51,84.41,88,73.37,48.92,37.81,30.75,36.24,52.59751381,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry
CHN,16.71445079,21.36418344,32.88153379,45.65904024,55.52225996,62.72756058,66.8630366,65.26553348,56.96893985,45.25803975,31.12497028,20.28464416,43.38619517,10.56,15.32,25.04,42.98,61.96,88.85,108.61,97.84,61.72,34.17,17.94,9.78,47.89782819,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry
COL,76.31759193,76.96534039,77.25769517,76.5476339,75.83351297,75.00339349,74.82099838,75.27840172,75.58654997,75.72526134,75.8913839,75.89461616,75.92686128,111.63,116.88,165.63,255.56,303.01,293,260.7,245.24,234.02,270.67,218.03,144.21,218.2154319,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry
CRI,73.71178562,74.61037162,76.31690028,77.07842914,76.27498572,75.18148558,75.28884285,74.92819947,74.62490005,74.18094278,73.51095677,73.47392867,74.93167169,129.37,78.04,73.05,143.01,304.8,381.05,352.21,392.87,392.6,460.44,342.37,218.44,272.3555138,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry
CIV,78.50658346,81.9922092,82.84365867,82.48423682,80.93734311,78.58712118,76.76708991,76.53987708,77.48246595,78.77828443,79.37902189,77.77642756,79.33948802,10.19,36.56,80.84,120.53,161.23,212.75,158.02,168.06,195.82,129.86,59.75,22.44,113.0068147,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry
HRV,31.71370659,35.75427478,42.48543716,50.44460649,58.5676143,64.38572826,68.07180742,67.4011138,61.43912866,52.42929927,42.72757577,34.75143137,50.84763923,73.48,67.51,72.38,85.34,88.54,97.99,80.4,92.7,86.95,86.7,113.42,91.94,86.4456402,Dry,Dry,Dry,Dry,Rainy,Rainy,Dry,Rainy,Rainy,Rainy,Rainy,Rainy
CYP,51.14898539,51.92284989,55.38469982,61.84400029,68.96615056,76.03880014,80.69450045,80.69450045,76.61120071,69.46385012,61.14064999,54.30065007,65.68430004,85.56,71.53,51.14,26.5,17.49,4.49,1.38,2.48,5.03,27.82,49,93.84,36.35456975,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy
CZE,26.93615002,30.09379506,37.04780751,45.49010001,54.13725509,59.74673012,62.79156521,62.42873001,56.28834497,47.45480908,37.07599548,30.0836084,45.79789995,39.58,36.54,39.52,46.3,73.55,85.17,79.24,79,52.4,41.58,48.23,45.89,55.58317604,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry
DNK,31.80950176,31.82343004,36.03307357,42.56234859,51.39146425,57.92321429,60.60457137,60.62424315,55.41382144,48.846303,40.8958636,34.9620755,46.07416129,55.82,36.7,44.31,39.39,47.15,54.42,64.75,67.61,71.55,74.27,77.87,64.81,58.22082138,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy
DOM,71.1738502,71.78438728,73.18714998,74.86283731,75.89266267,77.01698761,77.38092454,78.14513759,77.63697507,76.5165874,74.74325028,72.5382498,75.07354972,78.36,69.67,52.93,99.93,192.79,130.62,122.92,121.11,151.27,162.54,135.22,99.71,118.0893234,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry
EGY,55.27470406,58.28368949,64.09925077,72.39973699,79.27614973,83.87629341,84.41991336,84.37836895,81.10187675,75.37366517,65.62038014,57.69746138,71.81681544,4.53,2.78,3.27,2.35,2.38,1.84,2.36,2.7,1.33,2.61,2.35,4.42,2.742775754,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry
SLV,75.1174253,76.05589976,78.26832437,79.43427505,78.62450027,76.75880032,77.28507547,76.88457446,75.73392482,75.6086,74.81817532,74.45637451,76.58757496,6.14,4.55,10.94,41.88,174.9,301.99,256.77,274.48,342.24,202.92,45.69,10.31,139.4008649,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry
EST,20.27833079,20.60599309,27.76424692,39.06637771,50.62286915,58.50278474,61.7445151,60.13240765,51.80339242,43.26455223,33.52353871,25.35939854,41.05568916,37.96,27.75,30.02,36.3,43.5,53.61,70.86,80.9,73.69,64.28,60.97,49.97,52.48227868,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry
ETH,70.09770732,72.1361755,74.26965366,74.83410238,74.52662441,73.87255124,72.10798549,71.67237062,72.39743902,71.72316583,70.20478392,69.3577464,72.2667073,10.85,19.1,40.8,92.24,100.32,76.86,134.32,138.35,97.22,75.84,34.16,10.45,69.20955384,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry
FIN,10.55623929,12.14659024,21.03717672,32.06729354,44.76986359,55.2172405,59.3192046,55.58867445,46.22906815,36.04495859,24.73693102,15.4005305,34.42615006,32.01,24.02,26.48,28.07,33.72,49.92,66.77,72.83,58.19,50.39,45.79,36.52,43.72509199,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry
FRA,37.59685639,39.58802416,43.4652128,48.37433215,54.89196358,60.97629504,65.48695717,64.81164989,60.4088921,53.14404572,44.04209836,38.95833127,50.97870001,72.95,66.58,66.71,66.52,79.93,65.95,54.67,63.73,67.74,78.28,79.65,76.21,69.91075025,Rainy,Dry,Dry,Dry,Rainy,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy
GAB,78.29632141,78.69334981,79.05174292,78.96467856,78.31367833,75.37039991,73.37254996,74.02125732,76.22214275,77.39023572,77.23352851,77.06636421,76.9996785,147.52,155.24,220.87,208.36,178.72,42.96,9.2,19.94,112.47,286.92,286.38,150.85,151.6199169,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Rainy,Rainy,Dry
GMB,74.97379951,78.5923996,81.18199959,82.85000115,83.35820007,83.39000092,81.24019966,80.10979919,80.12000046,81.65600128,79.73419953,75.07159958,80.18959999,0.35,0.27,0,0.17,7.29,85.61,229.13,319.04,253.03,89.54,5.67,0.37,82.53981188,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry
GEO,22.23472692,24.82960874,33.30366114,45.72216347,54.06883788,60.19911024,65.84856536,65.20615166,58.33259104,47.73446405,37.86241014,27.73852119,45.25667168,64.02,56.71,61.91,80.79,105.26,117.65,86.15,81.72,74.21,79.24,74.46,77.31,79.95306046,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry
DEU,31.14036733,33.00242048,38.97418116,45.83747209,54.09180713,59.89440758,62.93854431,62.54355513,57.02414867,48.97721114,39.68692983,33.58538225,47.30801341,51.22,42.02,49.1,52.48,66.27,80.24,73.68,72.37,57.54,50.34,59.02,59.23,59.45831087,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry
GHA,80.50880777,84.35774535,85.13826751,84.49534019,82.67142598,79.90559731,78.20492478,77.79101812,78.55957134,80.27415313,81.1338754,79.59901308,81.05320266,7.46,27.43,71.68,104.34,148.26,183.72,155.07,143.37,176.6,114.53,36.56,15.92,98.74538194,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry
GRC,40.53350244,42.44526725,46.73967417,53.47449406,61.56072924,68.85807046,73.31825876,72.99425881,67.13275316,58.19231868,50.38379536,43.32517291,56.57990357,81.48,72.75,63.67,47.12,42.97,28.08,21.52,19.05,28.02,66.84,91.3,105.43,55.68527486,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy
GTM,69.25796912,70.61567698,73.28950765,75.82386172,76.8043077,76.16618488,75.17456929,75.39864602,74.88398461,73.59846194,71.38109218,69.9436767,73.5281233,85,55.85,66.82,95.21,215.29,387.59,379.06,341.91,404.44,313.12,160.64,101.4,217.1942277,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry
GIN,75.64351538,79.16413075,81.73349218,82.81755384,81.45343051,78.04679235,76.13288473,75.41796153,76.35197681,77.23646914,77.15011554,74.68000785,77.98575362,2.25,9.44,26.38,63.8,131.57,213.49,317.1,385.68,325.32,170.67,41.87,5.99,141.1302652,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry
GUY,77.40985459,77.54793614,78.1697,78.55159975,78.42066368,77.68653627,77.58731828,78.42941815,79.49829102,79.99473624,79.62933643,78.25386365,78.43165443,176.54,129.47,148.42,202,341.2,355.05,291.18,204,110,100.87,120.42,185.53,197.0572071,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry
HTI,72.50650781,73.03501596,74.24696852,75.50530795,76.83841594,78.17567682,78.56973845,78.92392314,78.45107686,77.51410734,75.54726119,73.34544575,76.05513828,43,51.41,66.05,123.63,210.15,156.22,116.2,156.67,185.24,202.13,116.75,52.76,123.3500945,Dry,Dry,Dry,Rainy,Rainy,Rainy,Dry,Rainy,Rainy,Rainy,Dry,Dry
HND,70.35655012,71.56680002,74.08199997,75.95595017,76.98905029,76.09239988,75.28190002,75.68785019,75.58214989,74.19489985,72.2835,71.06699991,74.09495001,92.34,58.83,39.33,52.17,151.62,268.51,253.22,217.2,260.12,248.86,177.31,126.25,162.1465027,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry
HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,28.33946273,33.53682733,41.78614588,51.29206854,59.88854551,65.32834987,68.19607717,67.45124563,61.04271393,51.45292715,40.80800542,32.20591235,50.11060591,34.48,31.8,33.51,43.27,59.8,76.26,60.16,62.28,41.42,35.48,50.75,42.55,47.64624653,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Rainy,Dry
ISL,26.29732574,27.10509176,27.29534075,31.17207675,37.5090766,43.48899748,46.93049754,45.62017742,39.71518573,34.17683858,27.7899163,26.08991843,34.43253552,100.83,85.01,88.22,65.71,58.89,68.46,73.83,87.88,94.97,115.66,99.24,101.12,86.65176741,Rainy,Dry,Rainy,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy
IND,62.31448451,66.46841125,74.20992632,81.37780147,85.15032233,84.13575527,80.44313208,79.21561709,78.89227055,76.12829066,69.4253113,63.460132,75.10178154,11.21,13.22,18.22,31.46,55.53,155.4,266.92,249.32,163.08,68.86,26.11,12.87,89.35143762,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry
IDN,77.92560735,78.11368481,78.42789421,78.83168113,78.8699604,78.05576143,77.49498804,77.69584229,78.1375521,78.7782832,78.76219405,78.43631915,78.29414615,280.08,246.32,282.73,271.67,251.16,192.19,171.61,168.5,183.82,213.9,254.95,284.6,233.4612667,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy
IRN,39.90942763,43.57388254,52.39400596,62.28342145,71.70208525,79.74842457,83.46776225,81.09550034,74.31556457,64.13369635,53.14331586,43.8465511,62.46780412,35.67,32.95,37.2,32.41,19.12,4.95,3.66,3.06,2.63,10.07,16.19,29.44,18.94651436,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry
IRL,40.34827349,40.44653409,42.79366108,45.85042105,50.13253349,55.03829732,58.14704343,57.69830816,54.42639462,50.14609176,43.89961516,41.80352489,48.39426385,121.97,86.44,90.08,65.88,76.82,67.11,66.19,88.4,99.71,115.97,112.43,119.63,92.55238411,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy
ISR,53.22817141,54.88905751,58.92465684,65.87239996,71.41228583,76.55308598,79.60897189,80.02682805,77.22294301,71.99420024,63.62471445,56.12334279,67.45640041,60.49,43.48,32.7,12.41,1.55,0.01,0.09,0.24,0.37,9.78,27.55,60.03,20.72412046,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry
ITA,37.97382592,39.82884716,43.73973712,49.30284488,56.79964136,63.5444572,68.54915722,68.2598185,62.9344629,55.14234157,46.4224027,39.91714188,52.70124974,77.58,71.88,74.6,79,74.15,67.46,56.39,71.92,75.89,95.07,101.24,85.01,77.51613478,Rainy,Dry,Dry,Rainy,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy
JAM,72.96934967,73.24699993,74.20009995,75.64144955,76.50364971,77.90585022,78.25100031,78.63484974,77.72900038,77.05355063,75.87635012,74.52320013,76.04419975,106.5,107.8,79.48,126.7,233.21,169.26,134.79,205.76,228.49,297.01,263.87,161.32,176.1820221,Dry,Dry,Dry,Dry,Rainy,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry
JPN,29.71813315,30.40052178,36.54161278,47.66370831,56.34323365,63.21365247,70.40957275,72.93919993,65.7630296,54.99897047,44.69661557,35.14654437,50.6529067,74.25,73.72,97.03,124.16,138.98,206.8,212.04,187.56,193.24,126.19,98.07,71.73,133.6464294,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry
JOR,47.00720165,49.9163205,55.5467257,63.89286285,71.45214286,77.4054115,80.42637707,80.43820582,76.73622268,69.22996573,58.47753703,49.89166571,65.03509128,20.94,18.77,18.95,8.79,2.73,0.05,0.22,0.47,0.07,4.02,9.59,17.7,8.525474498,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry
KAZ,9.850632779,10.75285735,24.87720562,46.82752685,60.43321641,69.75193031,74.12655514,69.58541168,59.00611903,43.13185922,28.55010335,16.44450448,42.77816692,16.91,14.07,17.85,23.55,25.4,25.16,27.14,20.32,16.01,23.54,22.75,19.57,21.02208213,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry
KEN,76.85132193,78.28141711,78.97833467,77.81556381,76.09364707,74.15148535,73.1379893,73.68284058,75.05942677,76.71270274,76.1975658,76.22665465,76.09903753,30.94,26.99,60.55,138.85,89.82,34.49,30.8,28.79,26.6,58.9,102.18,49.21,56.50941186,Dry,Dry,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Rainy,Rainy,Dry
KOR,25.55473016,29.33070843,38.59442002,50.52352563,59.91864284,67.60490017,73.96177142,74.98952844,65.84617124,54.85379872,42.28173288,30.79186017,51.18764416,29.27,37.59,59.7,104.72,101.93,177.64,292.02,252.76,154.23,60.35,51.04,23.48,112.0609458,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry
KWT,54.23157504,58.3857501,66.62075019,75.58272505,87.18957515,94.49667511,97.24234991,96.57972584,90.99995003,80.84075036,67.80717535,57.33860004,77.27629972,22.8,14.35,15,16.56,4.81,0.19,0.39,0.42,0.25,1.73,13.78,18.3,9.048901161,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry
KGZ,6.333518295,9.112514951,22.65805694,37.72003563,45.53766901,52.74645067,58.00214997,56.65815126,48.21563677,35.98469892,22.52290242,12.11834203,33.96750102,25.4,28.26,44.49,57.44,59.14,39.37,22.35,14.3,10.74,30.69,30.51,28.03,32.56012213,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry
LAO,65.63981596,69.0760159,73.41744771,77.37845602,78.62883205,78.34901599,77.89071184,77.35529588,76.70235217,74.51849596,70.28115192,66.2589441,73.79143999,19.44,18.26,38.66,97.15,189.65,271.02,281.59,340.92,247.46,151.88,74.54,27.78,146.5289503,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry
LVA,21.44136965,22.45452802,29.53895704,40.92937314,52.26928571,59.0785314,61.78804566,60.68407982,52.72303995,44.11553768,34.41440357,26.09788896,42.12792631,38.09,27.59,33.6,38.11,47.07,59.89,75.63,76.42,70.87,59.01,61.21,51.37,53.23919242,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry
