code,jan,feb,march,april,may,june,july,aug,sep,oct,nov,dec,ann,jan,feb,march,april,may,june,july,aug,sep,oct,nov,dec,avg,jan,feb,march,april,may,june,july,aug,sep,oct,nov,dec
LBN,45.4968947,46.62796985,50.70965028,57.19234991,63.3636498,69.56599979,73.34329939,74.02684984,71.31650038,65.12405052,56.30283541,48.18321495,60.10429978,162.24,123.15,91.27,50.48,14.34,2.28,0,0.12,2.29,40.76,85,149.17,60.09270732,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy
LSO,63.51560016,61.71800027,59.23549995,52.5736402,46.8900049,41.88350005,42.68098982,46.18800514,52.95415997,55.59904981,58.24939975,61.16105008,53.55405526,122.34,110.23,103.33,59.32,23.85,15.23,12.88,23.27,35.21,75.39,95.25,99.36,64.63893085,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy
LTU,22.15646464,23.67477386,31.16108234,42.71860768,53.91869229,60.06560001,62.39775367,61.57972286,53.84336918,44.98815388,35.29661832,27.08892288,43.24082919,38.89,28.14,36.02,40.54,51,67.8,77.16,75.55,67.09,56.51,61.2,51.81,54.31013697,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry
LUX,32.666,34.88593996,40.46594,46.60394058,54.36140061,59.90540047,63.30739937,62.41999932,57.28459987,49.55593948,39.92000018,34.47193993,47.98741969,74.29,60.62,71.18,57.73,72.2,76.34,69.44,70.43,59.84,69.8,82.27,84.66,70.73382568,Rainy,Dry,Rainy,Dry,Rainy,Rainy,Dry,Dry,Dry,Dry,Rainy,Rainy
MKD,30.22999946,33.88508434,40.57891445,48.62113467,57.17430869,63.35812686,67.72410896,67.51710905,61.35881802,51.41278733,41.65893082,33.31838054,49.73633273,47.27,42.28,51.31,52.34,69.45,57.49,46.05,41.82,40.17,53.81,70.1,60.42,52.70865284,Dry,Dry,Dry,Dry,Rainy,Rainy,Dry,Dry,Dry,Rainy,Rainy,Rainy
MDG,75.71898466,75.78150053,75.17684671,73.58168145,70.11019391,66.82952475,66.00608427,66.73474613,68.94896553,71.77875735,73.7490995,75.07641217,71.62442327,283.24,257.36,184.33,90.11,55.19,48.24,56.87,49.05,31.86,60.88,118.04,240.5,122.9729993,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Rainy
MWI,74.27446862,74.07400536,73.84218417,72.15648444,68.56335261,65.164763,64.48606835,67.10535245,71.61160512,75.7101103,76.59537923,75.15547375,71.56177372,232.96,209.85,206.31,100.76,25.15,10.55,9.07,3.71,3.13,17.8,76.44,216.54,92.6909169,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Rainy
MYS,76.29404023,76.51892004,77.34664576,78.09997135,78.3356685,77.88283994,77.37472577,77.33581154,77.20598865,77.18152573,76.79953149,76.62273724,77.24990856,274.89,196.23,210.43,227.43,239.84,196.16,190.34,220.19,251.65,298.33,342.47,344.83,249.3994177,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy
MLI,70.24567076,75.51333917,81.20730823,86.95550922,91.51174341,92.08755803,89.26242202,87.12061595,87.03920293,85.19691336,78.16035505,70.97651285,82.93977236,0.04,0.34,1.07,5.18,14.34,36.78,75.31,98.17,55.82,14.9,0.95,0.12,25.25076206,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry
MLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRT,68.53140499,72.78004998,77.521955,82.30738005,88.34723017,91.78302986,91.93769492,90.09644006,88.16383497,84.89078501,76.91987499,68.88713501,81.84721502,0.57,0.69,0.23,0.55,0.72,5.51,18.78,33.61,23.49,4.07,1,0.8,7.500396259,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry
MUS,77.89459953,78.07460022,77.8585987,76.31600151,73.19659843,70.41200027,69.17539978,68.68399849,69.62539978,71.59459953,74.17940101,76.53740005,73.62860146,265.81,283.84,245.58,223.85,156.24,121.97,121.93,105.02,69.5,69.94,91.33,198.01,162.7514038,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Rainy
MEX,58.64122648,61.15496561,65.19343076,70.29947693,74.23117558,76.92787214,76.82390425,76.45315026,74.44142532,69.92167127,64.02523417,59.65205253,68.98044767,23.18,15.9,13.14,17.08,38.83,102.02,132.38,134.18,137.52,70.58,27.62,25.71,61.51159402,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry
MDA,26.00262495,28.88639037,37.27586747,50.45072001,60.8941627,66.88399978,69.72192476,69.0435499,61.59042468,50.73799994,40.07000757,31.25449509,49.40091488,37.07,36.52,32.5,42.69,53.74,73.78,68.09,47.45,45.26,25.61,37.77,38.42,44.90772915,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry
MNG,-5.00026001,-0.032442275,16.15659413,35.03718129,49.63765815,59.29614034,62.95282025,59.84940712,48.61689151,33.38830961,13.59233997,-0.274036229,31.10172136,1.64,1.72,3.9,9.53,17.37,37.37,64.06,54.14,22.4,8.16,4.45,2.49,18.93599486,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry
MNE,28.22596995,30.658001,36.55899193,44.36801023,52.88800983,58.94869986,63.5836998,63.57199993,57.12110014,47.97211981,38.99698989,31.8970189,46.23250985,110.91,100.99,100.89,106.44,101.58,94.54,76.75,76.78,93.87,107,133.46,123.98,102.2652062,Rainy,Dry,Dry,Rainy,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy
MAR,49.42014037,52.10797881,55.5551554,59.17821154,65.49377693,71.99761529,78.81718082,78.55139233,72.87444622,64.80464239,56.7384673,50.5231654,63.00517299,39.42,46.01,37.25,38.82,23.73,8.18,2.55,3.79,11.93,24.64,44.03,41.91,26.85554538,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy
MOZ,78.85917082,78.60375961,77.86677743,75.46690565,71.66955282,68.00519774,67.33109439,69.77653268,73.62878882,76.95766284,78.66882248,78.85580683,74.64084726,196.13,189.22,163.41,83.98,32.9,20.72,18.33,12.24,10.43,29.21,73.99,177.24,83.98381606,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Rainy
MMR,64.40156648,67.52435861,72.93792908,77.70677378,78.35759365,77.31538591,76.83716267,76.6833197,76.80282719,75.21341398,70.57495724,65.51432596,73.32245758,8.31,12.37,21.21,63.52,199.26,385.51,408.08,395.68,269.21,176.84,55.88,11.83,167.3083945,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry
NAM,75.67022644,74.48965851,72.81092968,68.59185502,62.88756098,57.99252057,57.45419515,60.91038331,66.62341397,70.8425575,73.41329,75.1338454,68.06846274,63.88,64.59,55.49,22.08,2.65,1.33,0.42,0.55,1.77,7.94,24.19,28.93,22.81926676,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry
NPL,39.49468789,42.13590372,50.03505405,57.65288709,62.27629865,65.89433217,65.85217424,65.46279255,63.23134663,56.72064169,48.49336733,42.02054117,54.93909275,20.21,30.37,39.84,53.4,95.82,212.61,363.57,299.47,203.84,60.72,10.34,16.24,117.2009811,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry
NLD,35.58879499,36.27238996,40.90101125,45.61324259,53.57041255,58.49937492,61.79168756,61.9517751,57.01212499,50.62523022,42.64922745,38.28310254,48.56312776,65.51,44.59,60.11,46.74,56.06,66.41,73.2,65.14,66.67,69.24,77.02,75.36,63.83907318,Rainy,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy
NZL,58.88742959,59.09417454,56.48564727,51.2928054,45.64765167,41.47118746,40.22448848,42.29286024,45.6996935,49.40682642,52.75059098,56.22446572,49.95649788,139.13,108.15,147.05,141.77,160.2,154.6,161.4,162.52,161.48,159.38,143.23,152.03,149.2454728,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Rainy
NIC,73.93131308,75.13997382,76.90870876,78.29967814,78.45498698,77.12275214,76.8685609,76.58439586,76.50237837,76.17473898,74.81542627,74.31404795,76.25980891,110.79,56.15,36.14,47.67,197.45,372.43,337.75,296.64,299.95,313.85,193.16,144.99,200.5807829,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry
NGA,76.27391681,80.60910091,84.42701986,85.80139396,84.08762174,81.15999008,78.52918612,77.67824949,78.67030488,80.19716229,78.66376441,76.39836031,80.20798619,3.46,9.6,30.83,68.79,115.38,158.44,215.14,230.02,197.65,92.29,13.01,3.93,94.87765746,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry
NOR,15.35590785,16.26288206,22.11101122,29.95412448,40.60365219,49.14873669,52.95593797,50.87570833,43.55059697,34.95762144,25.23179836,19.27628099,33.35700644,93.15,70.43,73.18,53.41,55.35,71.49,91.24,94.86,117.05,122.5,104.18,105.01,87.65339512,Rainy,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy
OMN,67.86039059,69.3963793,74.11288429,80.08839622,85.03957378,86.09052141,83.64962055,81.70040555,81.40150471,79.24745992,74.89749903,70.32329554,77.81738496,6.89,12.68,10.67,14.55,3.82,6.43,12.18,7.38,2.2,3.32,3.62,4.46,7.350592233,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry
PAK,47.6145769,51.20066847,60.81610559,70.85312446,78.5290749,84.16644797,83.58736636,81.71600384,77.50894194,69.55065585,59.45776006,50.58901312,67.96582682,20.58,27.55,35.08,24.87,16.83,14.38,59.83,54.52,19.5,6.97,6.57,14.31,25.08481709,Dry,Rainy,Rainy,Dry,Dry,Dry,Rainy,Rainy,Dry,Dry,Dry,Dry
PAN,75.52219968,76.15054999,77.79477472,78.26089988,78.00139995,76.72932491,77.20992484,76.46967492,75.81057491,75.73662491,75.13512502,75.18155012,76.50020003,61.35,34.99,36.55,115.2,296.42,258.26,232.77,271.58,272.9,419.1,325.04,162.86,207.2522134,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry
PRY,81.937362,80.73535512,78.50747475,73.58613533,68.72083663,65.01528318,65.4221972,68.54812544,72.14598308,76.4537888,78.95537025,81.14414519,74.26434206,126.6,112.88,109.02,111.34,86.56,55.81,42.36,38.49,59.23,107.46,125.34,118.8,91.157883,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy
PER,68.15852145,68.16936013,67.98488466,67.5980494,66.58605171,65.06446521,64.49076744,65.71820525,66.72647291,67.54341748,68.1446331,68.07536956,67.02171611,169.54,173.36,176.57,142.64,112.33,85.04,74.48,69.6,92.18,133.86,128.71,154.93,126.1035099,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy
PHL,75.31558443,75.74952572,77.23693247,79.07165853,79.78280007,78.82734377,78.08436848,77.93834607,78.00520902,77.7981079,77.11780927,76.12788992,77.58801355,121.99,79.9,75.19,88.1,177.7,253.89,289.25,293.56,269.4,273.11,234.91,160.61,193.1327246,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry
POL,26.9278614,29.5132784,36.76686304,45.33402236,55.36491657,60.70412512,63.54010799,62.92678291,55.99889198,47.77785916,38.16354453,30.9485979,46.16389745,32.86,27.47,31.06,38.81,60.88,76.34,78.83,71.24,51.89,43.73,46.65,40.89,50.05492464,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry
PRT,48.28268859,49.67828426,52.39866715,55.32446859,60.25931432,66.36024291,71.09822865,71.36068565,68.20712866,61.57352852,53.79637998,49.02040563,58.94668557,113.11,112.62,77.24,71.18,54.22,35.5,10.85,11.7,41.16,87.41,106.66,113.69,69.61223602,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy
PRI,72.27020035,72.30019989,73.27400055,74.81180038,76.66339951,77.91860008,78.06020012,78.47179947,77.98220062,77.2760006,75.66020012,73.71200028,75.69980011,114.46,90.59,91.98,144.65,264.6,183.54,184.68,225.47,266.91,232.12,185.67,141.32,177.168413,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry
QAT,63.08959885,64.96580047,71.21180038,78.96979942,88.01180038,92.98579864,94.72580185,94.10419998,90.3655983,84.41000023,75.8144001,66.7616005,80.45120049,11.74,15.81,15.54,10.95,0.78,0.2,0.36,0.22,0,0.23,3.63,5.78,5.435105324,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry
ROU,25.28503842,29.53094515,38.12595409,48.90124627,57.92950958,63.59633209,66.53804628,65.86529649,59.32888574,49.52083352,39.45429648,30.24676799,47.86024194,36.92,35.16,36.08,51.91,75.93,92.89,79.68,64.74,46.15,37.22,42.96,42.57,53.51736355,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry
RUS,-16.59410074,-12.50464919,2.165072934,19.86650846,37.22854939,51.73602787,58.627998,53.61077065,42.00704246,22.39804794,0.252009719,-11.33322067,20.62166994,21.59,16.62,17.75,23.96,34.46,51.62,65.42,62.78,46.99,37.3,30.53,25.79,36.23293446,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry
RWA,66.2365395,66.63794045,66.64441998,66.27776055,66.02647987,65.40998001,65.48521988,66.70292011,66.81938,66.57836021,65.89021954,65.94349979,66.2214199,91.97,102.59,139.32,166.41,112.19,27.86,11.06,40.94,91.99,116.97,149.31,112.2,96.90029653,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy
SAU,59.62664709,62.85781318,69.07920267,76.15057113,84.00027633,88.86644464,89.66699991,89.74866575,86.37762367,78.53702624,69.49076314,62.05936107,76.37181321,6.19,5.91,11.77,16.32,8.47,1.72,3.77,3.34,0.94,2.13,6.96,5.89,6.116954217,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry
SEN,75.77997053,79.74949997,83.25462955,86.06350295,87.95101491,86.19312955,83.25293535,81.79800597,81.86185294,83.48810003,80.896206,75.77205583,82.17177049,0.31,0.49,0.06,0.28,11.07,68.76,155.46,224.18,178.62,58.9,2.78,0.18,58.42506801,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry
SRB,29.25568244,33.13689649,40.84225604,50.55218794,59.28080008,65.13521288,68.52467093,68.23347741,61.63758066,51.7258167,41.71400195,33.82691134,50.32218842,50.13,46.52,49.49,59.79,78.06,88.65,67.45,57.29,56.13,47.9,63.29,61.77,60.53863821,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Dry,Dry,Dry,Rainy,Rainy
SYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLE,77.33516046,80.4873201,81.77575985,81.92609567,80.46500028,78.66838365,76.90114419,76.71279184,77.69948015,78.561752,78.80604797,77.20800772,78.87883981,4.8,14.91,35.61,95.34,220.75,314.44,464.91,519.26,411.2,276.87,95.38,18.25,205.9767411,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry
SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVK,24.49978069,28.89593688,36.31216794,45.68273461,54.36649532,59.59926135,62.50750779,62.01382314,55.71135148,46.9746155,36.40514418,28.04994182,45.08491304,43.2,42.27,42.45,53.51,81.34,101.13,93.28,86.92,58.02,49.89,61.6,53.89,63.95969254,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry
SVN,28.23931997,31.76667145,38.07665992,45.64194012,53.89413986,59.71814003,63.28080006,62.4961998,56.95785961,48.57608013,38.44535393,30.57600001,46.47238002,78.33,75.77,94.94,111.72,118.56,143.93,128.59,135.37,124.88,118.38,137.45,93.88,113.4838969,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry
ZAF,73.74964399,72.78026799,69.98449202,63.93534397,57.6348452,52.09227881,51.9278264,55.353832,60.85286121,64.95823598,68.86463196,71.95823198,63.67437202,67.25,65.66,60.42,40.08,18.43,15.42,12.78,17.71,22.22,42.57,55.08,57.16,39.5646794,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy
ESP,42.06989347,44.17484652,47.47675919,51.17609299,57.68068446,65.28885348,71.64700275,71.29320566,66.2172478,57.25646167,48.13711833,42.93209858,55.44585692,64.26,62.03,52.15,60.28,55.63,40.75,19.88,23.53,41.67,62.27,73.49,67.05,51.91558865,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy
LKA,77.23997246,78.55601862,80.65048155,82.01504562,82.5301727,81.85574511,81.31999994,81.0249635,80.8407092,79.88949075,78.48434578,77.50735472,80.15940923,101.78,65.48,80.96,152.65,130.05,77.48,74.95,91.62,129.33,250.85,292.25,252,141.6172735,Dry,Dry,Dry,Rainy,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy
SUR,77.07967764,76.9870327,77.62581229,78.14939203,78.34977985,78.03959181,78.08778781,78.83912275,79.69283667,80.03784893,79.60430621,78.05465331,78.37894694,208.77,162.04,201.06,257.72,358.64,317.94,252.51,169.49,76.31,63.2,86.98,162.14,193.0675221,Rainy,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry
SWZ,75.55135994,75.18776055,73.51340019,69.24956093,65.02387993,60.29923973,60.6354794,63.7124004,67.57952026,69.11275986,71.20147987,73.87015991,68.74484009,130.38,126.99,85.29,50.05,19.93,9.84,9.25,18.47,41.4,83.55,108.55,114.68,66.53088989,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy
SWE,13.8769881,15.78942527,23.03926979,32.34298769,43.61808887,53.13252776,56.30920269,53.81677536,45.75616623,37.02243095,25.14450112,17.5528768,34.78343101,44.75,33,35.77,33.44,40.34,53.8,78.08,72.44,66.87,57.2,56.12,49.35,51.76252778,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry
CHE,26.17332989,27.817341,32.16232998,38.02599703,45.39370993,51.40399985,55.46265988,54.58083992,50.24536011,42.94533999,33.895013,28.47365702,40.54830331,119.89,109.51,120.32,140.74,153.69,169.22,161.65,176.28,128.83,111.85,128.52,125.92,137.2010379,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry
TWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJK,13.64292964,16.10460705,26.45161697,38.19607072,45.48649758,54.13154301,59.68245636,58.47143764,50.45549459,39.20877021,28.24962366,19.26424951,37.44544724,52.53,57.78,83.24,76.65,61.42,19.01,6.22,2.46,2.85,32.19,42.86,54.82,41.00188748,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy
TZA,73.4819798,73.78583739,73.72896912,72.75814953,71.12189053,68.61938877,68.17570357,69.78054815,72.13788712,74.14554827,74.35018756,73.71910749,72.15045768,149.48,141.47,179.41,176.86,64.46,14,8.19,8.07,15.87,33.16,100.86,160.55,87.69863113,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy
THA,73.57902585,77.38126117,81.29068127,84.00922122,82.97604237,81.64541878,80.94314346,80.47532363,80.11231651,79.1688835,76.28499763,73.13216,79.24979877,13.7,16.43,35.33,82.33,197.43,199.1,205.22,246.99,258.6,168.29,78.8,30.26,127.7063788,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry
TTO,76.49060002,76.73360042,77.675,79.01240005,79.88000068,79.07269955,78.9043993,79.36430073,79.73239936,79.53529949,78.83329888,77.39600049,78.55250035,74.18,44.95,40.57,60.54,124.24,224.15,256.2,229.92,189.81,214.99,206.47,165.38,152.6172485,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy
TUN,50.78353682,53.3556105,57.5720411,63.29461057,71.02017882,78.75844199,83.75723158,83.63893696,78.20659975,69.23521058,59.82629466,52.80162101,66.85422111,30.1,30.42,31.41,22.39,14.1,7.58,2.33,6.55,21.75,34.63,30.32,35.5,22.25729249,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry
TUR,31.05671263,33.7655205,40.58832134,50.02943028,58.0539924,65.36357952,71.28893436,70.97578452,64.60521669,54.61406258,44.32406558,35.49996689,51.68049167,72.01,61.09,60.56,62.09,56.45,33.84,14.58,12,17.46,44.1,58.67,80.43,47.77359424,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy
UGA,73.72988276,74.59166595,74.61862177,73.48701461,72.54930245,71.56158558,70.80685852,71.18722908,71.80021739,72.46718282,72.56673177,72.70337822,72.67251479,37.33,54.04,101.2,151.87,141.42,85.87,91.76,117.07,122.47,128.35,118.11,58.41,100.6579528,Dry,Dry,Rainy,Rainy,Rainy,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry
ARE,65.16953929,66.97047836,72.70324349,79.84118267,87.12257405,90.42275626,92.83303485,92.39156507,89.13763441,83.01779153,75.31120866,68.51073036,80.28609598,5.96,22.18,16.59,8.96,1.08,1.09,2.28,1.41,0.5,0.43,1.74,5.6,5.651002124,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry
GBR,37.38808819,37.34365559,40.38019777,44.13628348,49.66779037,54.97859299,57.9837174,57.71626161,53.98499834,49.04961888,41.94331235,38.9285099,46.95843045,121.12,83.91,99.32,68.67,73.53,73.76,74.38,92.85,106.16,119.12,119.2,122.28,96.19164515,Rainy,Dry,Rainy,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy
USA,20.64191422,24.27564944,32.11575375,42.5673,53.75842953,62.81073511,67.89022652,65.9260131,57.9375674,45.85776091,32.68523773,23.43327409,44.15832872,44.6,41.97,51.4,49.11,60.09,64.49,65.78,65.15,61.47,49.41,50.64,50.43,54.54472271,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry
URY,75.02663427,74.06126866,70.26288275,64.18207127,58.71917425,53.19322566,53.23092289,55.00711135,57.79433436,62.51403718,67.31926573,72.14776572,63.62147426,114.14,128.02,115.29,97.93,96.73,89.82,105.22,95.78,103.34,107.95,103.39,92.86,104.2064389,Rainy,Rainy,Rainy,Dry,Dry,Dry,Rainy,Dry,Dry,Rainy,Dry,Dry
VEN,77.04869772,78.0112949,79.02946636,79.051213,78.10181356,76.63634514,76.30706707,76.81685148,77.42697211,77.7809131,77.70976139,76.95752613,77.57321765,50.63,46,58.37,131.54,229.13,296.5,292.73,267.29,202.19,170.72,132.09,80.48,163.1378322,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry
VNM,67.02458955,69.07370004,71.71376316,77.44229469,80.300663,80.76564745,80.90636313,80.39026838,78.91248416,76.30313167,72.36177889,68.70908949,75.32536843,37.33,25.84,39.94,73.48,167.9,228.48,250.25,264.18,266.37,236.87,170.76,73.76,152.9300661,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry
YEM,65.03536502,66.65552851,69.47055319,74.39895324,78.54710001,82.04501444,80.56915463,80.1984714,79.0306455,73.42919738,68.54694282,66.26772205,73.68290373,6.57,8.66,14.33,25.15,15.89,9.14,28.93,25.66,9.6,4.63,8.95,9.02,13.87824164,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry
ZMB,73.1981408,73.28572163,73.22293762,71.4399656,67.2442736,63.25169362,62.7210321,67.04926158,73.25152163,76.404272,75.54617597,73.60214006,70.85143754,224.09,198.09,154.74,50.78,4.68,0.37,0.05,0.23,3.63,32.03,111.56,224.5,83.72943298,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy
ZWE,75.01961613,74.28435579,73.24885304,70.06511618,65.11767054,60.43031184,60.15586469,64.22525435,70.45870749,74.72344989,75.61876472,74.93007932,69.85650148,152.18,136.24,76.34,32.51,8.07,3.67,1.98,2.41,6.97,27.39,75.98,145.24,55.74789775,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy